2019-43-08 13:43:57:855[restartedMain]INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping-Mapped "{[/user/session],methods=[POST]}" onto public com.sarnath.sshop.entity.vo.ResultVO<java.util.Map<java.lang.String, java.lang.Integer>> com.sarnath.sshop.controller.UserController.session(javax.servlet.http.HttpServletRequest)
2019-43-08 13:43:57:855[restartedMain]INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping-Mapped "{[/user/login],methods=[POST]}" onto public com.sarnath.sshop.entity.vo.ResultVO<com.sarnath.sshop.entity.UserEntity> com.sarnath.sshop.controller.UserController.login(java.lang.String,java.lang.String,javax.servlet.http.HttpServletRequest)
2019-43-08 13:43:57:857[restartedMain]INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping-Mapped "{[/error]}" onto public org.springframework.http.ResponseEntity<java.util.Map<java.lang.String, java.lang.Object>> org.springframework.boot.autoconfigure.web.servlet.error.BasicErrorController.error(javax.servlet.http.HttpServletRequest)
2019-43-08 13:43:57:857[restartedMain]INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping-Mapped "{[/error],produces=[text/html]}" onto public org.springframework.web.servlet.ModelAndView org.springframework.boot.autoconfigure.web.servlet.error.BasicErrorController.errorHtml(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
2019-43-08 13:43:57:880[restartedMain]INFO  o.s.web.servlet.handler.SimpleUrlHandlerMapping-Mapped URL path [/webjars/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2019-43-08 13:43:57:880[restartedMain]INFO  o.s.web.servlet.handler.SimpleUrlHandlerMapping-Mapped URL path [/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2019-43-08 13:43:58:508[restartedMain]INFO  o.s.b.d.autoconfigure.OptionalLiveReloadServer-LiveReload server is running on port 35729
2019-43-08 13:43:58:537[restartedMain]INFO  o.s.jmx.export.annotation.AnnotationMBeanExporter-Registering beans for JMX exposure on startup
2019-43-08 13:43:58:538[restartedMain]INFO  o.s.jmx.export.annotation.AnnotationMBeanExporter-Bean with name 'dataSource' has been autodetected for JMX exposure
2019-43-08 13:43:58:544[restartedMain]INFO  o.s.jmx.export.annotation.AnnotationMBeanExporter-Located MBean 'dataSource': registering with JMX server as MBean [com.alibaba.druid.pool:name=dataSource,type=DruidDataSource]
2019-43-08 13:43:58:555[restartedMain]INFO  org.apache.coyote.http11.Http11NioProtocol-Starting ProtocolHandler ["http-nio-8081"]
2019-43-08 13:43:58:565[restartedMain]INFO  org.apache.tomcat.util.net.NioSelectorPool-Using a shared selector for servlet write/read
2019-43-08 13:43:58:582[restartedMain]INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer-Tomcat started on port(s): 8081 (http) with context path ''
2019-43-08 13:43:58:586[restartedMain]INFO  com.sarnath.sshop.Application-Started Application in 4.971 seconds (JVM running for 6.139)
2019-44-08 13:44:19:667[http-nio-8081-exec-1]INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/]-Initializing Spring FrameworkServlet 'dispatcherServlet'
2019-44-08 13:44:19:667[http-nio-8081-exec-1]INFO  org.springframework.web.servlet.DispatcherServlet-FrameworkServlet 'dispatcherServlet': initialization started
